removed_pollster,paxton_win_probability,mean_paxton_margin_points,last_updated
Change Research,0.608715,2.377224984279317,2026-05-12
GQR,0.60521,2.331512335666574,2026-05-12
Impact Research,0.59993,2.0599981657752107,2026-05-12
Peak Insights,0.654965,3.2529375650884726,2026-05-12
Public Policy Polling,0.608985,2.3795785248588612,2026-05-12
Quantus Insights,0.59868,2.1627327818989595,2026-05-12
Remington Research Group,0.56658,1.2620651401742866,2026-05-12
Texas Public Opinion Research,0.584915,1.8996722001360564,2026-05-12
University of Houston Hobby School,0.61965,2.759998525540062,2026-05-12
co/efficient,0.6424,3.0017968173904515,2026-05-12
all partisan/internal core polls,0.59756,1.6429374162391088,2026-05-12
