dataset_name,check_date,source_url,check_result,notes,last_updated
polls,2026-05-12,https://www.270towin.com/2026-senate-polls/texas,no_new_public_update,Checked public polling tables; no newer major public runoff poll found beyond the May 5 UH release / May 7 table entries already loaded.,2026-05-12
polls,2026-05-12,https://www.realclearpolling.com/polls/senate/republican-primary/2026/texas-runoff,no_new_public_update,Checked RCP runoff table; no newer public poll requiring a new raw row.,2026-05-12
primary_results,2026-05-12,https://txelectionresults.com/primaries/2026,checked_current,"Checked statewide candidate totals and reconciled GOP candidates to the listed 2,166,910 ballot total.",2026-05-12
county_primary_results,2026-05-12,https://txelectionresults.com/primaries/2026,no_complete_county_rows,"Statewide U.S. Senate totals were available, but a complete county-by-county machine-readable candidate file was not identified for safe import.",2026-05-12
early_vote_turnout,2026-05-12,https://www.sos.state.tx.us/elections/laws/advisory2025-17-mar-3-2026-primary-elec-law-cal-and-may-26-2026-primary-runoff-elec-law-cal.shtml,not_started,"Texas SOS calendar lists runoff early voting from May 18 through May 22, 2026, so no early-vote turnout rows are expected yet.",2026-05-12
endorsements_events,2026-05-12,https://www.texastribune.org/2026/05/05/texas-us-senate-gop-runoff-cornyn-paxton-university-of-houston-poll-attorney-general/,no_new_public_update,Checked latest campaign context and major-public-source coverage; no resolved Trump endorsement or equivalent material event found for model use.,2026-05-12
turnout_signals,2026-05-12,https://txelectionresults.com/primaries/2026,checked_current,Checked primary turnout anchor and runoff calendar context; early-vote data is not yet available.,2026-05-12
market_timeseries,2026-05-12,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,checked_current,Latest market snapshot already captured in market_timeseries.,2026-05-12
markets,2026-05-12,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,checked_current,Latest market reference already captured in markets.,2026-05-12
finance_ads,2026-05-12,https://www.quorumreport.com/Newsclips/NewsClipsByDate_Print.cfm,checked_current,Latest context rows already captured as non-model context to avoid double-counting.,2026-05-12
