entity,candidate_affinity,entity_type,stage,date_start,date_end,receipts_m,disbursements_m,cash_on_hand_m,ad_support_m,ad_spending_m,source_url,notes
John Cornyn campaign and joint fundraising committees,Cornyn,campaign+JFC,runoff,2026-01-01,2026-03-31,9.0,17.0,8.2,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Q1 2026 totals across accounts under Cornyn control."
Ken Paxton campaign and joint fundraising committee,Paxton,campaign+JFC,runoff,2026-01-01,2026-03-31,2.2,3.2,2.6,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Q1 2026 totals across Paxton campaign and new JFC."
Texans for a Conservative Majority,Cornyn,super PAC,runoff,2026-01-01,2026-03-31,9.5,,2.9,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Main pro-Cornyn PAC; Q1 fundraising and cash on hand."
Lone Star Liberty PAC,Paxton,super PAC,runoff,2026-01-01,2026-03-31,2.1,,1.0,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Main pro-Paxton PAC; Q1 fundraising and cash on hand."
Conservative Texans PAC,Cornyn,super PAC,runoff,2026-01-01,2026-03-31,5.0,,1.95,,,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Pro-Cornyn spender in runoff."
Cornyn campaign and associated victory funds,Cornyn,campaign+JFC,primary,2025-01-01,2026-02-27,,,,69.0,15.1,https://adimpact.com/blogs/tx-senate-ad-analysis-the-most-expensive-senate-primary-on-record,"AdImpact: Cornyn received $69M total ad support; campaign/victory funds spent $15.1M."
Ken Paxton ad support,Paxton,campaign+allies,primary,2025-01-01,2026-02-27,,,,4.1,3.7,https://adimpact.com/blogs/tx-senate-ad-analysis-the-most-expensive-senate-primary-on-record,"AdImpact: Paxton trailed heavily in ad support."
Wesley Hunt ad support,Hunt,campaign+allies,primary,2025-01-01,2026-02-27,,,,12.0,11.5,https://adimpact.com/blogs/tx-senate-ad-analysis-the-most-expensive-senate-primary-on-record,"Included because Hunt-voter transfer is central to runoff modeling."
Texans for a Conservative Majority,Cornyn,super PAC,runoff,2026-03-04,2026-04-15,,,,,2.85,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Runoff ads spent or booked through Tuesday before Apr. 15 publication."
Cornyn Lonestar Victory Committee,Cornyn,JFC,runoff,2026-03-04,2026-04-15,,,,,0.545,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Additional runoff spend."
Lone Star Liberty PAC,Paxton,super PAC,runoff,2026-03-04,2026-04-15,,,,,0.022,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,"Minimal early runoff airwave spend reported by Texas Tribune."
John Cornyn candidate committee,Cornyn,candidate committee,context,2026-01-01,2026-04-26,12.89177,8.603149,2.922081,,,https://www.fec.gov/data/,"FEC candidate-committee summary as of Apr. 26, 2026; context row excluded from runoff money model to avoid double-counting campaign/JFC totals."
Ken Paxton candidate committee,Paxton,candidate committee,context,2026-01-01,2026-04-26,7.007951,4.861414,2.146537,,,https://www.fec.gov/data/,"FEC candidate-committee summary as of Apr. 26, 2026; context row excluded from runoff money model to avoid double-counting campaign/JFC totals."
