dataset_name,source_type,retrieval_method,freshness_sla_days,trust_tier,citation_url,refresh_instructions,notes
polls,polling_table,manual_public_snapshot,3,high,https://www.270towin.com/2026-senate-polls/texas,Append new public polls with source_url and notes before each build.,Canonical polling input for primary and runoff survey rows.
primary_results,official_results,manual_public_snapshot,365,high,https://txelectionresults.com/primaries/2026,Refresh only if official result corrections appear.,Statewide candidate-result input for first-round baseline.
markets,market_reference,manual_public_snapshot,2,medium,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,Refresh with the latest public snapshot for model-vs-market comparison.,Headline market comparison table kept separate from the core forecast.
market_timeseries,market_orderbook,manual_public_snapshot,1,medium,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,Append latest bid ask last and settlement notes before each build.,Timestamped market microstructure input for safety-gated betting decisions.
finance_ads,finance_reporting,manual_public_snapshot,14,medium,https://www.texastribune.org/2026/04/15/john-cornyn-ken-paxton-runoff-first-quarter-fundraising/,Refresh after major filings or new ad tracking summaries.,Campaign finance and ad context used as capped adjustment evidence.
endorsements_events,qualitative_events,manual_public_snapshot,7,medium,https://www.texastribune.org/,Add material endorsements withdrawals and major legal or campaign events with model notes.,Qualitative shock tracking only.
hunt_transfer,subgroup_polling,manual_public_snapshot,7,medium,https://www.uh.edu/hobby/primary2026/senate.pdf,Append new Hunt-voter transfer evidence and mark usability explicitly.,Transfer evidence used in prior construction.
subgroup_signals,subgroup_polling,manual_public_snapshot,14,medium,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Append new subgroup rows when crosstabs or public tables appear.,Supporting diagnostics only.
candidate_strength,image_polling,manual_public_snapshot,14,medium,https://www.texastribune.org/wp-content/uploads/2026/05/UH-GOP-runoff-poll.pdf,Append new favorability or commitment metrics from public polling tables.,Capped candidate-strength adjustment evidence.
turnout_signals,turnout_context,manual_public_snapshot,7,medium,https://txelectionresults.com/primaries/2026,Refresh when new turnout commentary or turnout anchors appear.,Scenario-context input for turnout conditions.
general_election_polls,electability_polling,manual_public_snapshot,21,low,https://www.270towin.com/2026-senate-polls/texas,Append only public matchup polls that add electability context.,Secondary contextual evidence not used directly in the runoff polling baseline.
shock_scenarios,shock_assumptions,manual_curated_policy,30,medium,https://www.texastribune.org/,Update shock rows only when a new relevant event class or bounded assumption is needed.,Policy-controlled stress tests for release gating and no-bet decisions.
county_primary_results,official_results,manual_public_snapshot,365,high,https://txelectionresults.com/primaries/2026,Replace placeholder statewide rows with full county candidate rows when available.,County geography should be forecast-eligible only after real county rows are loaded.
county_features,county_context,manual_curated_policy,365,medium,https://txelectionresults.com/primaries/2026,Refresh only when county baseline assumptions or metadata need revision.,County context and retention baselines.
early_vote_turnout,official_turnout,manual_public_snapshot,1,high,https://www.sos.state.tx.us/elections/,Update daily once early voting starts.,Critical freshness-gated turnout input during the early vote window.
source_checks,source_audit,manual_public_check,7,high,https://www.sos.state.tx.us/elections/,Record no-new-data source checks with date URL result and notes.,Freshness override log for public sources that were checked but had no new model row.
wager_settings,policy_controls,manual_curated_policy,30,high,https://github.com/,Update when bankroll or policy buffers change.,Risk-control policy settings for the betting decision engine.
