platform,contract,timestamp,paxton_bid,paxton_ask,paxton_last,paxton_implied_prob,cornyn_bid,cornyn_ask,cornyn_last,cornyn_implied_prob,other_implied_prob,volume,liquidity,fee_assumption_pct,source_url,settlement_notes,notes
Kalshi,Texas Republican Senate nominee,2026-03-04T12:00:00,,,,0.55,,,,0.45,0.00,,,0.01,https://kalshi.com/,"Settles on official Republican nominee result; verify contract wording before use.",Snapshot from public market reference.
Kalshi,Texas Republican Senate nominee,2026-03-14T12:00:00,,,,0.55,,,,0.45,0.00,,,0.01,https://kalshi.com/,"Settles on official Republican nominee result; verify contract wording before use.",Snapshot from public market reference.
Polymarket,Texas Republican Senate nominee,2026-03-14T12:00:00,,,,0.39,,,,0.61,0.00,,,0.02,https://polymarket.com/,"Verify market resolution source and eligibility restrictions before use.",Snapshot from public market reference.
Polymarket,Texas Republican Senate nominee,2026-04-18T12:00:00,,,,0.60,,,,0.40,0.00,,,0.02,https://polymarket.com/,"Verify market resolution source and eligibility restrictions before use.",Snapshot from public market reference.
Covers,Texas Republican Senate nominee,2026-05-01T12:00:00,,,,0.59,,,,0.41,0.00,,,0.02,https://www.covers.com/,"Odds/implied probability reference only; verify underlying book or market before use.",Reported Paxton around 59 percent implied probability.
Polymarket,Texas Republican Senate nominee,2026-05-03T12:00:00,,,,0.56,,,,0.42,0.02,"15.9M",,0.02,https://polymarket.com/,"Verify market resolution source and eligibility restrictions before use.",Public snapshot reference with residual outcome bucket.
Polymarket,Texas Republican Senate nominee,2026-05-09T00:02:49,0.55,0.57,0.56,,0.42,0.43,0.42,,0.001,16005277.5154743,122340.5071,0.02,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,"Resolves on first announcement from Texas Republican Party or overwhelming credible reporting consensus; market is restricted and fees apply.","Live Polymarket API snapshot: Paxton last 0.56, bid/ask 0.55/0.57; Cornyn last 0.42, bid/ask 0.42/0.43; total event volume/liquidity recorded."
Polymarket,Texas Republican Senate nominee,2026-05-14T00:41:21,0.60,0.61,0.61,,0.39,0.40,0.39,,0.000,16110280.379905296,155795.7015,0.04,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,"Resolves on first announcement from Texas Republican Party or overwhelming credible reporting consensus; market is restricted and fees apply.","Live Polymarket API snapshot: Paxton last 0.61, bid/ask 0.60/0.61; Cornyn last 0.39, bid/ask 0.39/0.40; total event volume/liquidity recorded."
Covers/Kalshi,Texas Republican Senate nominee,2026-05-18T08:00:00,,,,0.64,,,,0.38,0.00,,,0.01,https://www.covers.com/politics/texas-senate-odds,"Odds/implied probability reference only; verify underlying contract wording before use.","Covers May 18 odds reference: Paxton 64 cents, Cornyn 38 cents on Kalshi; raw figures retained even though they do not sum to exactly one."
Polymarket,Texas Republican Senate nominee,2026-05-18T18:56:07,0.62,0.63,0.63,,0.36,0.37,0.37,,0.0015,16175973.1913103,146303.94039,0.04,https://gamma-api.polymarket.com/events?slug=texas-republican-senate-primary-winner,"Resolves on first announcement from Texas Republican Party or overwhelming credible reporting consensus; market is restricted and fees apply.","Live Polymarket API snapshot: Paxton last 0.63, bid/ask 0.62/0.63; Cornyn last 0.37, bid/ask 0.36/0.37; total event volume/liquidity recorded."
